,Isolate,Rep,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,Media
20,S22,2,0.425269581,0.000201799,0.976510556,7.836816684,0.709820469,17.11175055,17.19180556,0.05315934,,R2A
21,S22,3,0.42004557,0.00033913,0.922033483,7.723067818,0.75175923,16.94916571,17.03313889,0.050260673,,R2A
22,S34,1,0.499657877,0.022630204,0.401055074,7.600674447,1.728309217,20.16543246,20.11051389,0.019181711,,R2A
23,S34,2,0.494228538,0.021315435,0.423479986,7.319071291,1.636788521,20.09115417,20.04205556,0.021255851,,R2A
24,S34,3,0.505122779,0.019307609,0.434453885,7.42386953,1.595444775,20.48835895,20.44205556,0.022133526,,R2A
25,S391,1,0.414293557,0.000379359,0.452611712,15.45459754,1.531438897,13.51346929,13.56751389,0.01195752,,R2A
26,S391,2,0.42665435,0.000486814,0.437673755,15.47889359,1.583707438,13.90603979,13.95776389,0.010259995,,R2A
27,S391,3,0.430506246,0.000463842,0.444259788,15.37860457,1.560229397,14.0748387,14.12788889,0.010559274,,R2A
28,S10,1,0.420590815,0.000451573,1.417490813,4.822326443,0.488995889,18.19124166,18.19072222,0.019299834,,R2A
29,S10,2,0.423713677,0.000432376,1.417730589,4.857407946,0.488913187,18.31146201,18.32188889,0.020065747,,R2A
30,S10,3,0.420295239,0.000343332,1.473236115,4.825566077,0.470492933,18.17718126,18.18855556,0.020073374,,R2A
31,S27,1,0.594854663,0.000543701,0.363290128,19.25942565,1.907971419,17.13946279,17.15388889,0.023742874,,R2A
32,S27,2,0.597623245,0.000246509,0.411862168,18.92114883,1.682959092,17.42226333,17.48259722,0.018985844,,R2A
